#    L    TT             EE             BB             TE          
     2   0.101616E+04   0.308798E-01   0.182365E-05   0.262104E+01
     3   0.962788E+03   0.396888E-01   0.364776E-05   0.293975E+01
     4   0.911431E+03   0.344969E-01   0.608065E-05   0.275829E+01
     5   0.873156E+03   0.230958E-01   0.912292E-05   0.235023E+01
     6   0.847103E+03   0.129526E-01   0.127753E-04   0.189408E+01
     7   0.830631E+03   0.700070E-02   0.170388E-04   0.148880E+01
     8   0.820825E+03   0.450129E-02   0.219143E-04   0.117782E+01
     9   0.816332E+03   0.360295E-02   0.274031E-04   0.966592E+00
    10   0.815714E+03   0.307437E-02   0.335064E-04   0.847160E+00
    11   0.817593E+03   0.259555E-02   0.402256E-04   0.802158E+00
    12   0.822700E+03   0.227770E-02   0.475621E-04   0.812621E+00
    13   0.829138E+03   0.219462E-02   0.555176E-04   0.854938E+00
    14   0.836739E+03   0.228598E-02   0.640936E-04   0.908041E+00
    15   0.844458E+03   0.247044E-02   0.732919E-04   0.964396E+00
    16   0.854074E+03   0.272800E-02   0.831141E-04   0.102552E+01
    17   0.865435E+03   0.310122E-02   0.935621E-04   0.108890E+01
    18   0.877398E+03   0.363378E-02   0.104638E-03   0.115326E+01
    19   0.890721E+03   0.432928E-02   0.116343E-03   0.122180E+01
    20   0.903793E+03   0.516521E-02   0.128679E-03   0.128949E+01
    21   0.917312E+03   0.613508E-02   0.141647E-03   0.136091E+01
    22   0.931306E+03   0.724981E-02   0.155251E-03   0.143641E+01
    23   0.945389E+03   0.850157E-02   0.169491E-03   0.151333E+01
    24   0.959881E+03   0.988744E-02   0.184369E-03   0.158825E+01
    25   0.974915E+03   0.114120E-01   0.199886E-03   0.165340E+01
    26   0.990003E+03   0.130876E-01   0.216045E-03   0.171243E+01
    27   0.100555E+04   0.149251E-01   0.232846E-03   0.176614E+01
    28   0.102139E+04   0.169185E-01   0.250291E-03   0.180978E+01
    29   0.103744E+04   0.190940E-01   0.268381E-03   0.184838E+01
    30   0.105389E+04   0.214801E-01   0.287117E-03   0.187530E+01
    31   0.107015E+04   0.240732E-01   0.306500E-03   0.190134E+01
    32   0.108700E+04   0.268892E-01   0.326531E-03   0.192142E+01
    33   0.110394E+04   0.298878E-01   0.347211E-03   0.193402E+01
    34   0.112094E+04   0.330944E-01   0.368540E-03   0.194020E+01
    35   0.113858E+04   0.365158E-01   0.390519E-03   0.193079E+01
    36   0.115594E+04   0.401807E-01   0.413147E-03   0.191603E+01
    37   0.117356E+04   0.441143E-01   0.436427E-03   0.189011E+01
    38   0.119156E+04   0.483049E-01   0.460356E-03   0.185503E+01
    39   0.120982E+04   0.527419E-01   0.484936E-03   0.181058E+01
    40   0.122827E+04   0.574179E-01   0.510166E-03   0.175499E+01
    41   0.124682E+04   0.623297E-01   0.536046E-03   0.168702E+01
    42   0.126547E+04   0.674900E-01   0.562576E-03   0.160769E+01
    43   0.128425E+04   0.729158E-01   0.589754E-03   0.151813E+01
    44   0.130318E+04   0.786218E-01   0.617581E-03   0.141790E+01
    45   0.132235E+04   0.846198E-01   0.646056E-03   0.130621E+01
    46   0.134172E+04   0.909170E-01   0.675178E-03   0.118274E+01
    47   0.136127E+04   0.975136E-01   0.704945E-03   0.104692E+01
    48   0.138098E+04   0.104401E+00   0.735359E-03   0.898160E+00
    49   0.140082E+04   0.111571E+00   0.766416E-03   0.735905E+00
    50   0.142087E+04   0.119026E+00   0.798117E-03   0.559759E+00
    51   0.144117E+04   0.126767E+00   0.830461E-03   0.369632E+00
    52   0.146167E+04   0.134802E+00   0.863446E-03   0.166476E+00
    53   0.148231E+04   0.143130E+00   0.897072E-03  -0.487071E-01
    54   0.150306E+04   0.151754E+00   0.931337E-03  -0.275774E+00
    55   0.152392E+04   0.160679E+00   0.966242E-03  -0.514950E+00
    56   0.154500E+04   0.169901E+00   0.100178E-02  -0.767107E+00
    57   0.156640E+04   0.179417E+00   0.103796E-02  -0.103312E+01
    58   0.158808E+04   0.189225E+00   0.107478E-02  -0.131320E+01
    59   0.160995E+04   0.199325E+00   0.111223E-02  -0.160725E+01
    60   0.163199E+04   0.209710E+00   0.115032E-02  -0.191478E+01
    61   0.165421E+04   0.220371E+00   0.118904E-02  -0.223531E+01
    62   0.167661E+04   0.231306E+00   0.122839E-02  -0.256885E+01
    63   0.169921E+04   0.242513E+00   0.126838E-02  -0.291553E+01
    64   0.172202E+04   0.253989E+00   0.130901E-02  -0.327548E+01
    65   0.174507E+04   0.265733E+00   0.135026E-02  -0.364889E+01
    66   0.176838E+04   0.277738E+00   0.139216E-02  -0.403597E+01
    67   0.179194E+04   0.289998E+00   0.143468E-02  -0.443619E+01
    68   0.181572E+04   0.302503E+00   0.147784E-02  -0.484884E+01
    69   0.183967E+04   0.315245E+00   0.152164E-02  -0.527321E+01
    70   0.186375E+04   0.328218E+00   0.156607E-02  -0.570880E+01
    71   0.188795E+04   0.341417E+00   0.161114E-02  -0.615544E+01
    72   0.191238E+04   0.354839E+00   0.165685E-02  -0.661403E+01
    73   0.193715E+04   0.368478E+00   0.170320E-02  -0.708553E+01
    74   0.196228E+04   0.382323E+00   0.175019E-02  -0.756985E+01
    75   0.198776E+04   0.396362E+00   0.179782E-02  -0.806653E+01
    76   0.201355E+04   0.410581E+00   0.184610E-02  -0.857505E+01
    77   0.203953E+04   0.424970E+00   0.189502E-02  -0.909395E+01
    78   0.206568E+04   0.439516E+00   0.194459E-02  -0.962277E+01
    79   0.209203E+04   0.454208E+00   0.199481E-02  -0.101614E+02
    80   0.211863E+04   0.469034E+00   0.204568E-02  -0.107097E+02
    81   0.214547E+04   0.483983E+00   0.209720E-02  -0.112675E+02
    82   0.217259E+04   0.499045E+00   0.214939E-02  -0.118345E+02
    83   0.219995E+04   0.514210E+00   0.220223E-02  -0.124102E+02
    84   0.222756E+04   0.529465E+00   0.225573E-02  -0.129943E+02
    85   0.225540E+04   0.544799E+00   0.230990E-02  -0.135864E+02
    86   0.228348E+04   0.560204E+00   0.236474E-02  -0.141860E+02
    87   0.231176E+04   0.575666E+00   0.242025E-02  -0.147926E+02
    88   0.234023E+04   0.591171E+00   0.247643E-02  -0.154057E+02
    89   0.236889E+04   0.606708E+00   0.253329E-02  -0.160248E+02
    90   0.239775E+04   0.622258E+00   0.259083E-02  -0.166497E+02
    91   0.242681E+04   0.637809E+00   0.264905E-02  -0.172798E+02
    92   0.245607E+04   0.653346E+00   0.270796E-02  -0.179150E+02
    93   0.248556E+04   0.668854E+00   0.276756E-02  -0.185547E+02
    94   0.251527E+04   0.684320E+00   0.282785E-02  -0.191986E+02
    95   0.254520E+04   0.699729E+00   0.288884E-02  -0.198464E+02
    96   0.257535E+04   0.715068E+00   0.295053E-02  -0.204975E+02
    97   0.260573E+04   0.730322E+00   0.301293E-02  -0.211515E+02
    98   0.263633E+04   0.745475E+00   0.307603E-02  -0.218079E+02
    99   0.266715E+04   0.760514E+00   0.313984E-02  -0.224664E+02
   100   0.269819E+04   0.775427E+00   0.320437E-02  -0.231263E+02
   101   0.272944E+04   0.790199E+00   0.326961E-02  -0.237871E+02
   102   0.276091E+04   0.804808E+00   0.333558E-02  -0.244485E+02
   103   0.279259E+04   0.819255E+00   0.340228E-02  -0.251098E+02
   104   0.282446E+04   0.833510E+00   0.346970E-02  -0.257706E+02
   105   0.285653E+04   0.847567E+00   0.353786E-02  -0.264303E+02
   106   0.288879E+04   0.861410E+00   0.360675E-02  -0.270882E+02
   107   0.292123E+04   0.875032E+00   0.367639E-02  -0.277439E+02
   108   0.295383E+04   0.888411E+00   0.374677E-02  -0.283968E+02
   109   0.298661E+04   0.901540E+00   0.381790E-02  -0.290462E+02
   110   0.301955E+04   0.914398E+00   0.388979E-02  -0.296918E+02
   111   0.305264E+04   0.926976E+00   0.396244E-02  -0.303329E+02
   112   0.308588E+04   0.939268E+00   0.403584E-02  -0.309689E+02
   113   0.311927E+04   0.951251E+00   0.411002E-02  -0.315994E+02
   114   0.315279E+04   0.962910E+00   0.418496E-02  -0.322236E+02
   115   0.318643E+04   0.974245E+00   0.426068E-02  -0.328411E+02
   116   0.322021E+04   0.985241E+00   0.433719E-02  -0.334513E+02
   117   0.325410E+04   0.995875E+00   0.441448E-02  -0.340536E+02
