#    L    TT             EE             TE             PP             TP          
     2   0.101616E+04   0.308780E-01   0.262104E+01   0.104001E+07   0.278473E+05
     3   0.962782E+03   0.396852E-01   0.293975E+01   0.160137E+07   0.332183E+05
     4   0.911420E+03   0.344908E-01   0.275829E+01   0.209876E+07   0.356757E+05
     5   0.873140E+03   0.230867E-01   0.235023E+01   0.253766E+07   0.366036E+05
     6   0.847080E+03   0.129398E-01   0.189408E+01   0.292511E+07   0.367120E+05
     7   0.830601E+03   0.698366E-02   0.148880E+01   0.326880E+07   0.363892E+05
     8   0.820786E+03   0.447937E-02   0.117782E+01   0.357477E+07   0.357928E+05
     9   0.816283E+03   0.357555E-02   0.966599E+00   0.384842E+07   0.349988E+05
    10   0.815655E+03   0.304086E-02   0.847170E+00   0.409352E+07   0.340969E+05
    11   0.817522E+03   0.255533E-02   0.802172E+00   0.431462E+07   0.331937E+05
    12   0.822616E+03   0.223014E-02   0.812640E+00   0.451265E+07   0.323063E+05
    13   0.829040E+03   0.213911E-02   0.854965E+00   0.469227E+07   0.314969E+05
    14   0.836627E+03   0.222190E-02   0.908076E+00   0.485363E+07   0.306703E+05
    15   0.844331E+03   0.239717E-02   0.964441E+00   0.500016E+07   0.298448E+05
    16   0.853930E+03   0.264490E-02   0.102558E+01   0.513241E+07   0.289872E+05
    17   0.865275E+03   0.300769E-02   0.108897E+01   0.525182E+07   0.281293E+05
    18   0.877220E+03   0.352918E-02   0.115335E+01   0.536010E+07   0.273160E+05
    19   0.890524E+03   0.421299E-02   0.122191E+01   0.545792E+07   0.265491E+05
    20   0.903577E+03   0.503660E-02   0.128962E+01   0.554581E+07   0.258199E+05
    21   0.917076E+03   0.599353E-02   0.136107E+01   0.562486E+07   0.251214E+05
    22   0.931049E+03   0.709469E-02   0.143660E+01   0.569615E+07   0.244481E+05
    23   0.945110E+03   0.833225E-02   0.151355E+01   0.576019E+07   0.237993E+05
    24   0.959580E+03   0.970330E-02   0.158851E+01   0.581738E+07   0.231751E+05
    25   0.974592E+03   0.112124E-01   0.165370E+01   0.586832E+07   0.225756E+05
    26   0.989656E+03   0.128719E-01   0.171277E+01   0.591361E+07   0.219998E+05
    27   0.100518E+04   0.146927E-01   0.176653E+01   0.595372E+07   0.214431E+05
    28   0.102100E+04   0.166688E-01   0.181022E+01   0.598901E+07   0.209017E+05
    29   0.103702E+04   0.188263E-01   0.184888E+01   0.601958E+07   0.203799E+05
    30   0.105345E+04   0.211938E-01   0.187586E+01   0.604551E+07   0.198820E+05
    31   0.106968E+04   0.237677E-01   0.190196E+01   0.606736E+07   0.194066E+05
    32   0.108651E+04   0.265639E-01   0.192211E+01   0.608569E+07   0.189508E+05
    33   0.110342E+04   0.295421E-01   0.193479E+01   0.610071E+07   0.185121E+05
    34   0.112039E+04   0.327276E-01   0.194105E+01   0.611258E+07   0.180878E+05
    35   0.113800E+04   0.361274E-01   0.193172E+01   0.612150E+07   0.176745E+05
    36   0.115534E+04   0.397700E-01   0.191705E+01   0.612770E+07   0.172704E+05
    37   0.117293E+04   0.436808E-01   0.189122E+01   0.613136E+07   0.168822E+05
    38   0.119089E+04   0.478480E-01   0.185624E+01   0.613267E+07   0.165162E+05
    39   0.120913E+04   0.522610E-01   0.181189E+01   0.613175E+07   0.161690E+05
    40   0.122755E+04   0.569124E-01   0.175640E+01   0.612870E+07   0.158349E+05
    41   0.124607E+04   0.617989E-01   0.168854E+01   0.612365E+07   0.155093E+05
    42   0.126469E+04   0.669336E-01   0.160931E+01   0.611672E+07   0.151913E+05
