#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101616E+04   0.262104E+01   0.298740E-02   0.262104E+01   0.308780E-01  -0.122360E-04   0.298740E-02  -0.122360E-04   0.501360E-07
     3   0.962782E+03   0.293975E+01   0.298648E-02   0.293975E+01   0.396852E-01  -0.131246E-04   0.298648E-02  -0.131246E-04   0.609953E-07
     4   0.911420E+03   0.275829E+01   0.291146E-02   0.275829E+01   0.344908E-01  -0.111107E-04   0.291146E-02  -0.111107E-04   0.702602E-07
     5   0.873140E+03   0.235023E+01   0.280976E-02   0.235023E+01   0.230867E-01  -0.757293E-05   0.280976E-02  -0.757293E-05   0.782931E-07
     6   0.847081E+03   0.189408E+01   0.270148E-02   0.189408E+01   0.129398E-01  -0.368173E-05   0.270148E-02  -0.368173E-05   0.853030E-07
     7   0.830601E+03   0.148880E+01   0.259618E-02   0.148880E+01   0.698366E-02  -0.330941E-06   0.259618E-02  -0.330941E-06   0.914744E-07
     8   0.820786E+03   0.117782E+01   0.249401E-02   0.117782E+01   0.447937E-02   0.191000E-05   0.249401E-02   0.191000E-05   0.969352E-07
     9   0.816283E+03   0.966599E+00   0.239366E-02   0.966599E+00   0.357555E-02   0.283602E-05   0.239366E-02   0.283602E-05   0.101795E-06
    10   0.815655E+03   0.847170E+00   0.229709E-02   0.847170E+00   0.304086E-02   0.262412E-05   0.229709E-02   0.262412E-05   0.106123E-06
    11   0.817522E+03   0.802172E+00   0.220858E-02   0.802172E+00   0.255533E-02   0.171728E-05   0.220858E-02   0.171728E-05   0.110014E-06
    12   0.822616E+03   0.812640E+00   0.212718E-02   0.812640E+00   0.223014E-02   0.584234E-06   0.212718E-02   0.584234E-06   0.113471E-06
    13   0.829040E+03   0.854965E+00   0.205551E-02   0.854965E+00   0.213911E-02  -0.444785E-06   0.205551E-02  -0.444785E-06   0.116595E-06
    14   0.836627E+03   0.908076E+00   0.198627E-02   0.908076E+00   0.222190E-02  -0.117774E-05   0.198627E-02  -0.117774E-05   0.119377E-06
    15   0.844331E+03   0.964441E+00   0.191993E-02   0.964441E+00   0.239717E-02  -0.148935E-05   0.191993E-02  -0.148935E-05   0.121890E-06
    16   0.853930E+03   0.102558E+01   0.185385E-02   0.102558E+01   0.264490E-02  -0.131703E-05   0.185385E-02  -0.131703E-05   0.124139E-06
    17   0.865275E+03   0.108897E+01   0.178965E-02   0.108897E+01   0.300769E-02  -0.828259E-06   0.178965E-02  -0.828259E-06   0.126149E-06
    18   0.877220E+03   0.115335E+01   0.172986E-02   0.115335E+01   0.352918E-02  -0.253323E-06   0.172986E-02  -0.253323E-06   0.127957E-06
    19   0.890524E+03   0.122191E+01   0.167432E-02   0.122191E+01   0.421299E-02   0.158099E-06   0.167432E-02   0.158099E-06   0.129571E-06
    20   0.903577E+03   0.128962E+01   0.162223E-02   0.128962E+01   0.503660E-02   0.223511E-06   0.162223E-02   0.223511E-06   0.131000E-06
    21   0.917076E+03   0.136107E+01   0.157298E-02   0.136107E+01   0.599353E-02   0.485688E-07   0.157298E-02   0.485688E-07   0.132265E-06
    22   0.931049E+03   0.143660E+01   0.152608E-02   0.143660E+01   0.709469E-02  -0.206011E-06   0.152608E-02  -0.206011E-06   0.133389E-06
    23   0.945110E+03   0.151355E+01   0.148137E-02   0.151355E+01   0.833225E-02  -0.447441E-06   0.148137E-02  -0.447441E-06   0.134379E-06
