#    L    TT             EE             BB             TE          
     2   0.101616E+04   0.308800E-01   0.182446E-05   0.262105E+01
     3   0.962793E+03   0.396892E-01   0.364939E-05   0.293979E+01
     4   0.911436E+03   0.344974E-01   0.608337E-05   0.275834E+01
     5   0.873162E+03   0.230964E-01   0.912700E-05   0.235030E+01
     6   0.847109E+03   0.129532E-01   0.127810E-04   0.189417E+01
     7   0.830638E+03   0.700133E-02   0.170464E-04   0.148892E+01
     8   0.820831E+03   0.450190E-02   0.219241E-04   0.117796E+01
     9   0.816338E+03   0.360356E-02   0.274154E-04   0.966769E+00
    10   0.815720E+03   0.307502E-02   0.335214E-04   0.847371E+00
    11   0.817599E+03   0.259631E-02   0.402436E-04   0.802405E+00
    12   0.822706E+03   0.227860E-02   0.475835E-04   0.812908E+00
    13   0.829144E+03   0.219573E-02   0.555425E-04   0.855267E+00
    14   0.836745E+03   0.228736E-02   0.641224E-04   0.908413E+00
    15   0.844464E+03   0.247214E-02   0.733248E-04   0.964812E+00
    16   0.854079E+03   0.273010E-02   0.831515E-04   0.102599E+01
    17   0.865440E+03   0.310381E-02   0.936042E-04   0.108941E+01
    18   0.877403E+03   0.363695E-02   0.104685E-03   0.115382E+01
    19   0.890726E+03   0.433314E-02   0.116395E-03   0.122241E+01
    20   0.903798E+03   0.516988E-02   0.128736E-03   0.129015E+01
    21   0.917316E+03   0.614070E-02   0.141711E-03   0.136161E+01
    22   0.931310E+03   0.725652E-02   0.155321E-03   0.143716E+01
    23   0.945392E+03   0.850952E-02   0.169567E-03   0.151412E+01
    24   0.959884E+03   0.989680E-02   0.184452E-03   0.158909E+01
    25   0.974918E+03   0.114230E-01   0.199977E-03   0.165427E+01
    26   0.990005E+03   0.131003E-01   0.216143E-03   0.171333E+01
    27   0.100555E+04   0.149398E-01   0.232951E-03   0.176708E+01
    28   0.102139E+04   0.169353E-01   0.250404E-03   0.181074E+01
    29   0.103744E+04   0.191132E-01   0.268502E-03   0.184936E+01
    30   0.105389E+04   0.215019E-01   0.287247E-03   0.187630E+01
    31   0.107015E+04   0.240978E-01   0.306639E-03   0.190234E+01
    32   0.108700E+04   0.269168E-01   0.326679E-03   0.192243E+01
    33   0.110394E+04   0.299188E-01   0.347368E-03   0.193503E+01
    34   0.112094E+04   0.331289E-01   0.368707E-03   0.194121E+01
    35   0.113857E+04   0.365541E-01   0.390695E-03   0.193178E+01
    36   0.115594E+04   0.402231E-01   0.413335E-03   0.191701E+01
    37   0.117356E+04   0.441612E-01   0.436624E-03   0.189106E+01
    38   0.119155E+04   0.483564E-01   0.460565E-03   0.185595E+01
    39   0.120981E+04   0.527984E-01   0.485156E-03   0.181146E+01
    40   0.122826E+04   0.574796E-01   0.510397E-03   0.175581E+01
    41   0.124681E+04   0.623969E-01   0.536289E-03   0.168779E+01
    42   0.126546E+04   0.675631E-01   0.562831E-03   0.160840E+01
    43   0.128423E+04   0.729951E-01   0.590021E-03   0.151877E+01
    44   0.130317E+04   0.787075E-01   0.617861E-03   0.141845E+01
    45   0.132234E+04   0.847123E-01   0.646348E-03   0.130668E+01
    46   0.134171E+04   0.910166E-01   0.675483E-03   0.118311E+01
    47   0.136126E+04   0.976207E-01   0.705264E-03   0.104720E+01
