#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.101616E+04   0.308782E-01   0.000000E+00   0.262105E+01   0.501359E-07   0.298740E-02  -0.122360E-04
     3   0.962787E+03   0.396855E-01   0.000000E+00   0.293979E+01   0.609952E-07   0.298648E-02  -0.131246E-04
     4   0.911425E+03   0.344913E-01   0.000000E+00   0.275834E+01   0.702601E-07   0.291146E-02  -0.111107E-04
     5   0.873145E+03   0.230873E-01   0.000000E+00   0.235030E+01   0.782930E-07   0.280976E-02  -0.757301E-05
     6   0.847087E+03   0.129404E-01   0.000000E+00   0.189417E+01   0.853028E-07   0.270148E-02  -0.368182E-05
     7   0.830607E+03   0.698428E-02   0.000000E+00   0.148892E+01   0.914742E-07   0.259617E-02  -0.331032E-06
     8   0.820792E+03   0.447997E-02   0.000000E+00   0.117797E+01   0.969350E-07   0.249400E-02   0.190990E-05
     9   0.816289E+03   0.357615E-02   0.000000E+00   0.966776E+00   0.101795E-06   0.239366E-02   0.283591E-05
    10   0.815661E+03   0.304150E-02   0.000000E+00   0.847381E+00   0.106123E-06   0.229708E-02   0.262402E-05
    11   0.817528E+03   0.255606E-02   0.000000E+00   0.802419E+00   0.110014E-06   0.220857E-02   0.171717E-05
    12   0.822622E+03   0.223102E-02   0.000000E+00   0.812927E+00   0.113470E-06   0.212718E-02   0.584126E-06
    13   0.829046E+03   0.214019E-02   0.000000E+00   0.855294E+00   0.116595E-06   0.205550E-02  -0.444892E-06
    14   0.836633E+03   0.222324E-02   0.000000E+00   0.908448E+00   0.119377E-06   0.198626E-02  -0.117784E-05
    15   0.844337E+03   0.239883E-02   0.000000E+00   0.964858E+00   0.121890E-06   0.191993E-02  -0.148946E-05
    16   0.853936E+03   0.264697E-02   0.000000E+00   0.102604E+01   0.124138E-06   0.185384E-02  -0.131676E-05
    17   0.865280E+03   0.301024E-02   0.000000E+00   0.108948E+01   0.126149E-06   0.178964E-02  -0.828361E-06
    18   0.877225E+03   0.353231E-02   0.000000E+00   0.115391E+01   0.127956E-06   0.172986E-02  -0.253123E-06
    19   0.890529E+03   0.421681E-02   0.000000E+00   0.122252E+01   0.129571E-06   0.167431E-02   0.157996E-06
    20   0.903582E+03   0.504122E-02   0.000000E+00   0.129028E+01   0.131000E-06   0.162222E-02   0.223041E-06
    21   0.917080E+03   0.599909E-02   0.000000E+00   0.136177E+01   0.132265E-06   0.157297E-02   0.484510E-07
    22   0.931053E+03   0.710133E-02   0.000000E+00   0.143735E+01   0.133388E-06   0.152607E-02  -0.206111E-06
    23   0.945114E+03   0.834013E-02   0.000000E+00   0.151434E+01   0.134378E-06   0.148136E-02  -0.447574E-06
    24   0.959583E+03   0.971257E-02   0.000000E+00   0.158934E+01   0.135242E-06   0.143876E-02  -0.618792E-06
    25   0.974595E+03   0.112233E-01   0.000000E+00   0.165457E+01   0.135990E-06   0.139818E-02  -0.738173E-06
    26   0.989659E+03   0.128846E-01   0.000000E+00   0.171367E+01   0.136634E-06   0.135949E-02  -0.824957E-06
    27   0.100518E+04   0.147073E-01   0.000000E+00   0.176746E+01   0.137184E-06   0.132236E-02  -0.827771E-06
    28   0.102100E+04   0.166855E-01   0.000000E+00   0.181118E+01   0.137645E-06   0.128651E-02  -0.699838E-06
    29   0.103702E+04   0.188454E-01   0.000000E+00   0.184986E+01   0.138019E-06   0.125216E-02  -0.481673E-06
    30   0.105345E+04   0.212155E-01   0.000000E+00   0.187686E+01   0.138306E-06   0.121953E-02  -0.245187E-06
    31   0.106968E+04   0.237922E-01   0.000000E+00   0.190297E+01   0.138517E-06   0.118851E-02  -0.101852E-06
    32   0.108651E+04   0.265914E-01   0.000000E+00   0.192312E+01   0.138664E-06   0.115890E-02  -0.140510E-06
    33   0.110342E+04   0.295729E-01   0.000000E+00   0.193580E+01   0.138751E-06   0.113051E-02  -0.321841E-06
    34   0.112039E+04   0.327620E-01   0.000000E+00   0.194206E+01   0.138780E-06   0.110317E-02  -0.565528E-06
    35   0.113800E+04   0.361655E-01   0.000000E+00   0.193272E+01   0.138756E-06   0.107664E-02  -0.754153E-06
    36   0.115533E+04   0.398122E-01   0.000000E+00   0.191803E+01   0.138682E-06   0.105081E-02  -0.789979E-06
    37   0.117293E+04   0.437274E-01   0.000000E+00   0.189217E+01   0.138563E-06   0.102606E-02  -0.689528E-06
    38   0.119089E+04   0.478992E-01   0.000000E+00   0.185715E+01   0.138400E-06   0.100277E-02  -0.502211E-06
    39   0.120912E+04   0.523172E-01   0.000000E+00   0.181276E+01   0.138198E-06   0.980726E-03  -0.295491E-06
    40   0.122754E+04   0.569738E-01   0.000000E+00   0.175722E+01   0.137956E-06   0.959564E-03  -0.141126E-06
    41   0.124606E+04   0.618659E-01   0.000000E+00   0.168931E+01   0.137679E-06   0.938992E-03  -0.923953E-07
    42   0.126468E+04   0.670064E-01   0.000000E+00   0.161002E+01   0.137367E-06   0.918960E-03  -0.129598E-06
    43   0.128342E+04   0.724121E-01   0.000000E+00   0.152050E+01   0.137024E-06   0.899475E-03  -0.214935E-06
    44   0.130233E+04   0.780977E-01   0.000000E+00   0.142030E+01   0.136651E-06   0.880551E-03  -0.310743E-06
    45   0.132147E+04   0.840752E-01   0.000000E+00   0.130864E+01   0.136251E-06   0.862196E-03  -0.379479E-06
    46   0.134081E+04   0.903516E-01   0.000000E+00   0.118519E+01   0.135827E-06   0.844416E-03  -0.394643E-06
    47   0.136032E+04   0.969273E-01   0.000000E+00   0.104939E+01   0.135380E-06   0.827190E-03  -0.373512E-06
    48   0.138000E+04   0.103794E+00   0.000000E+00   0.900625E+00   0.134912E-06   0.810491E-03  -0.344226E-06
